q	t	sign	n6	nOther	rawGcdBits	rawGcdSha256	qVal	qFreeGcd	primitiveGcd	factors	omega	rawWindow	m5Capable	rawLeaves	assignedLeaves	sizeCertified	thresholdRatio
419	161	+	2675	5189	12	bf37c3988f6d7c368fa7111364f5b65ca037fac7db1c4b8fd730bf58265083ea	1	5	1	1	0	true	false	0	0	true	0.00000000000000
419	161	-	2675	257	12	bf37c3988f6d7c368fa7111364f5b65ca037fac7db1c4b8fd730bf58265083ea	1	5	1	1	0	false	false	0	0	true	NA
419	257	+	2771	5285	12	bf37c3988f6d7c368fa7111364f5b65ca037fac7db1c4b8fd730bf58265083ea	1	5	1	1	0	true	false	0	0	true	0.00000000000000
419	257	-	2771	161	18	c8467322a53e0a3a620550b7f7c9879e1b604767b44017a9ccdb7b67f1e466e5	1	365	73	73	1	false	false	0	0	true	NA
431	56	+	2642	5228	14	6b5ee88e1d0beda4d785c0b4965d8fc95ff4d4411a321a924b973240b74e353a	1	25	1	1	0	true	false	0	0	true	0.00000000000000
431	56	-	2642	374	9	368b766f1e4d7bf437d2a709577a5210a99002b62f5ce86c86f975bf64a2282b	1	1	1	1	0	false	false	0	0	true	NA
431	374	+	2960	5546	14	6b5ee88e1d0beda4d785c0b4965d8fc95ff4d4411a321a924b973240b74e353a	1	25	1	1	0	false	false	0	0	true	NA
431	374	-	2960	56	17	a750c70d5067ef6bebaccea3f2d65f1774490fb68aa30328e7ae42633c70800e	1	275	11	11	1	false	false	0	0	true	NA
433	195	+	2793	5391	21	b42e656387a63b2bc4a84d49539fd5cbee28d532b341c693d009fe78c6fd8f30	1	3125	1	1	0	true	false	0	0	true	0.00000000000000
433	195	-	2793	237	12	43ffa2532aa8c546649226fde4def5051147d6e7c084d5fdd15a4266a7abfd53	1	5	1	1	0	false	false	0	0	true	NA
433	237	+	2835	5433	20	ea47feb2de6d9f2ba22e3a28ed955291bd93d0716409387815228cb8934b85a0	1	2125	1	1	0	true	false	0	0	true	0.00000000000000
433	237	-	2835	195	12	43ffa2532aa8c546649226fde4def5051147d6e7c084d5fdd15a4266a7abfd53	1	5	1	1	0	false	false	0	0	true	NA
439	140	+	2774	5408	9	1fd5b48256c58d0fe972d1e49d0bc8d942b6d63e7bacad502b31e05e84dfbdb3	1	1	1	1	0	true	false	0	0	true	0.00000000000000
439	140	-	2774	298	9	1fd5b48256c58d0fe972d1e49d0bc8d942b6d63e7bacad502b31e05e84dfbdb3	1	1	1	1	0	false	false	0	0	true	NA
439	298	+	2932	5566	16	b4dfbca98de75466d2456685794d8765e2be65dae4d7cff92abe09eb470bb187	1	125	1	1	0	true	false	0	0	true	0.00000000000000
439	298	-	2932	140	14	bc71c1a2db1c9c2702c7a0d89268b079d4cb40445709b4116c6dcf601564f97b	1	25	1	1	0	false	false	0	0	true	NA
443	168	+	2826	5484	19	32201bf6b82d11cc98c122c04f263f14e2baefb7b786f191afa514a0b6d74546	1	625	1	1	0	true	false	0	0	true	0.00000000000000
