p,zp_size
23203,0
23209,0
23227,0
23251,2
23269,0
23279,2
23291,0
23293,0
23297,0
23311,0
23321,0
23327,2
23333,0
23339,4
23357,0
23369,0
23371,0
23399,0
23417,2
23431,0
23447,0
23459,0
23473,0
23497,2
23509,2
23531,0
23537,2
23539,0
23549,4
23557,0
23561,0
23563,2
23567,2
23581,0
23593,2
23599,0
23603,4
23609,0
23623,0
23627,0
23629,0
23633,4
23663,2
23669,0
23671,0
23677,2
23687,0
23689,0
23719,4
23741,0
23743,2
23747,0
23753,0
23761,0
23767,2
23773,0
23789,2
23801,2
23813,0
23819,0
23827,0
23831,2
23833,2
23857,0
23869,0
23873,0
23879,2
23887,2
23893,2
23899,4
23909,0
23911,0
23917,0
23929,0
23957,0
23971,0
23977,0
23981,2
23993,0
24001,0
24007,0
24019,2
24023,4
24029,0
24043,0
24049,2
24061,2
24071,0
24077,2
24083,0
24091,0
24097,0
24103,4
24107,2
24109,2
24113,2
24121,2
24133,0
24137,2
24151,4
24169,0
24179,0
24181,4
24197,2
24203,0
24223,4
24229,2
24239,0
24247,0
24251,0
24281,2
24317,2
24329,2
24337,4
24359,0
24371,2
24373,2
24379,4
24391,2
24407,0
24413,2
24419,0
24421,2
24439,0
24443,0
24469,2
24473,2
24481,0
24499,0
24509,2
24517,2
24527,0
24533,4
24547,0
24551,2
24571,2
24593,0
24611,0
24623,2
24631,0
24659,2
24671,0
24677,2
24683,2
24691,0
24697,4
24709,2
24733,2
24749,0
24763,0
24767,2
24781,0
24793,2
24799,0
24809,0
24821,0
24841,2
24847,0
24851,0
24859,0
24877,0
24889,4
24907,0
24917,0
24919,0
24923,0
24943,0
24953,0
24967,2
24971,4
24977,0
24979,0
24989,0
25013,2
25031,2
25033,2
25037,0
25057,0
25073,0
25087,0
25097,2
25111,0
25117,0
25121,2
25127,2
25147,0
25153,0
25163,0
25169,0
25171,0
25183,0
25189,2
25219,0
25229,0
25237,2
25243,4
25247,2
25253,0
25261,2
25301,2
25303,0
25307,2
25309,2
25321,2
25339,0
25343,4
25349,0
25357,0
25367,2
25373,0
25391,0
25409,2
25411,0
25423,0
25439,0
25447,4
25453,0
25457,0
25463,0
25469,0
25471,0
25523,0
25537,0
25541,0
25561,2
25577,0
25579,2
25583,4
25589,0
25601,0
25603,0
25609,0
25621,0
25633,0
25639,2
25643,0
25657,2
25667,0
