q,occurrences,plus_occurrences,minus_occurrences,unique_Aq,zq_size,selected_occurrences,selected_digits,min_linear_distance,min_cyclic_distance,min_normalized_distance,heuristic_AZ_over_q,max_K_premark,max_K_selected
2698063,1,1,0,1,4,0,0,457114,457114,0.1694230268159046,1.4825450702967277e-06,1,0
2704529,1,1,0,1,6,0,0,651068,651068,0.24073248983464404,2.2185008923919838e-06,1,0
2709481,2,2,0,2,0,0,0,-1,-1,,0,1,0
2719637,1,1,0,1,0,0,0,-1,-1,,0,1,0
2733707,1,0,1,1,0,0,0,-1,-1,,0,1,0
2736533,2,2,0,2,0,0,0,-1,-1,,0,1,0
2749573,1,0,1,1,0,0,0,-1,-1,,0,1,0
2751299,1,0,1,1,2,0,0,555005,555005,0.20172471258122074,7.2692935228050464e-07,1,0
2762029,1,1,0,1,6,0,0,318383,318383,0.11527141822189413,2.1723160763337388e-06,1,0
2762167,1,1,0,1,4,0,0,167245,167245,0.060548475164608075,1.4481383638281103e-06,1,0
2765219,1,0,1,1,0,0,0,-1,-1,,0,1,0
2769097,1,1,0,1,0,0,0,-1,-1,,0,1,0
2777539,2,2,0,2,2,0,0,19875,19875,0.0071556150966737104,1.4401237930412499e-06,1,0
2777573,2,2,0,2,0,0,0,-1,-1,,0,1,0
2789441,2,2,0,2,2,0,0,40987,40987,0.014693624995115508,1.4339790660566041e-06,1,0
2791331,1,0,1,1,0,0,0,-1,-1,,0,1,0
2797999,2,2,0,2,2,0,0,374453,374453,0.13382885412039103,1.429593077052565e-06,1,0
2801593,1,1,0,1,0,0,0,-1,-1,,0,1,0
2803337,1,1,0,1,0,0,0,-1,-1,,0,1,0
2811709,1,0,1,1,0,0,0,-1,-1,,0,1,0
2819683,1,0,1,1,0,0,0,-1,-1,,0,1,0
2829557,2,2,0,2,2,0,0,125839,125839,0.044473039419244777,1.4136488503324018e-06,1,0
2830853,1,1,0,1,0,0,0,-1,-1,,0,1,0
2835293,1,0,1,1,0,0,0,-1,-1,,0,1,0
2840237,1,1,0,1,0,0,0,-1,-1,,0,1,0
2841967,1,1,0,1,0,0,0,-1,-1,,0,1,0
2846161,1,1,0,1,0,0,0,-1,-1,,0,1,0
2848121,1,1,0,1,2,0,0,219159,219159,0.07694862683151453,7.0221735663618219e-07,1,0
2849389,1,0,1,1,0,0,0,-1,-1,,0,1,0
2849687,1,0,1,1,0,0,0,-1,-1,,0,1,0
2851361,1,0,1,1,2,0,0,127450,127450,0.044697953012613978,7.0141942742430721e-07,1,0
2860973,2,2,0,2,0,0,0,-1,-1,,0,1,0
2862017,1,0,1,1,0,0,0,-1,-1,,0,1,0
2865463,1,1,0,1,2,0,0,92251,92251,0.032194099173501807,6.979674837888327e-07,1,0
2874023,2,2,0,2,2,0,0,569725,569725,0.19823258199395064,1.3917773100632806e-06,1,0
2874979,1,1,0,1,0,0,0,-1,-1,,0,1,0
2877649,1,0,1,1,2,0,0,1269474,1269474,0.44114970241332419,6.9501179608770913e-07,1,0
2881561,2,2,0,2,0,0,0,-1,-1,,0,1,0
2891257,2,2,0,2,2,0,0,170300,170300,0.058901716450664887,1.3834813024231329e-06,1,0
2896913,1,0,1,1,2,0,0,715657,715657,0.24704124701017946,6.9039008075147577e-07,1,0
2897003,1,1,0,1,0,0,0,-1,-1,,0,1,0
