q,t,p,sign,type,x,y,h,zp_size,zq_size,selected,nearest_zero,linear_distance,cyclic_distance
2151791,140801,1869191,+,P,32789,206380,173591,6,0,0,-1,-1,-1
2155661,2041711,2146523,+,P,49983,2141678,2091695,8,2,0,2123800,82089,82089
2155661,2086850,2146523,+,P,4844,2096539,2091695,8,2,0,2123800,36950,36950
2169031,144941,1952729,+,P,509975,1164892,654917,4,0,0,-1,-1,-1
2173529,912711,1995073,+,P,11625,935962,924337,4,0,0,-1,-1,-1
2175947,439047,1973033,+,P,316501,1072050,755549,4,0,0,-1,-1,-1
2179241,228849,1942027,-,M+,8364,289893,281529,6,0,0,-1,-1,-1
2184331,442806,1954427,+,P,132196,707199,575003,6,2,0,253608,189198,189198
2184361,632588,2045669,+,P,580928,1794445,1213517,8,0,0,-1,-1,-1
2184361,962293,2045669,+,P,251223,1464740,1213517,8,0,0,-1,-1,-1
2195243,158371,1922519,-,M+,114352,127803,13451,6,0,0,-1,-1,-1
2206663,249379,1947499,+,P,143135,535650,392515,4,0,0,-1,-1,-1
2207897,39532,2040377,+,P,995724,2030981,1035257,4,0,0,-1,-1,-1
2207897,1025861,2040377,+,P,9395,1044652,1035257,4,0,0,-1,-1,-1
2217617,338880,1975609,+,P,184680,708241,523561,8,0,0,-1,-1,-1
2227889,378813,2078693,+,P,804703,1988220,1183517,6,0,0,-1,-1,-1
2227889,1093044,2078693,+,P,90472,1273989,1183517,6,0,0,-1,-1,-1
2230147,77282,1957871,+,P,246932,571147,324215,4,0,0,-1,-1,-1
2233031,165072,1997557,+,P,419640,1004353,584713,10,4,0,252048,86976,86976
2238359,3758,1965553,+,P,324958,653675,328717,4,2,0,659982,656224,656224
2239229,350178,2056741,+,P,611634,1573447,961813,4,2,0,224157,126021,126021
2239229,478519,2056741,+,P,483293,1445106,961813,4,2,0,224157,254362,254362
2242781,134804,2057047,+,P,807838,1750481,942643,4,0,0,-1,-1,-1
2242781,636077,2057047,+,P,306565,1249208,942643,4,0,0,-1,-1,-1
2242879,243304,2077151,+,P,839478,1922261,1082783,6,0,0,-1,-1,-1
2242879,927893,2077151,+,P,154889,1237672,1082783,6,0,0,-1,-1,-1
2245043,623138,2083847,+,P,493532,1610203,1116671,4,4,0,479091,144047,144047
2245043,643027,2083847,+,P,473643,1590314,1116671,4,4,0,479091,163936,163936
2249987,345109,2070793,+,P,650519,1646148,995629,6,0,0,-1,-1,-1
2249987,570984,2070793,+,P,424644,1420273,995629,6,0,0,-1,-1,-1
2252161,394212,2024591,+,P,264958,924129,659171,4,0,0,-1,-1,-1
2266973,683427,2068763,+,P,196075,1075578,879503,4,0,0,-1,-1,-1
2275769,51300,1980941,-,M-,160672,243527,82855,4,0,0,-1,-1,-1
2276179,70126,2084479,+,P,864152,1798431,934279,4,0,0,-1,-1,-1
2276179,648231,2084479,+,P,286047,1220326,934279,4,0,0,-1,-1,-1
2285911,199762,2117561,+,P,907698,2015159,1107461,4,0,0,-1,-1,-1
2285911,1005059,2117561,+,P,102401,1209862,1107461,4,0,0,-1,-1,-1
2290037,156249,2029997,+,P,313507,783264,469757,8,0,0,-1,-1,-1
2306671,192520,2053897,-,M+,60253,344732,284479,6,2,0,759376,566856,566856
