X,rep,seed,F3,ordered_primitive_signed_total,ordered_primitive_abs_mass,triple_top1_abs_share,triple_top5_abs_share,triple_top10_abs_share,triple_participation_ratio,max_load,rows_K_ge_3
128,40,732380040,54.0,7.894101971739365,96.87630733423634,0.06028455772315958,0.29754180591499246,0.536285186059284,30.871963304460852,3.0,9.0
128,41,732380041,66.0,20.536065217714114,107.43887379329983,0.05496497351306888,0.272350462134235,0.5393125931782804,30.71349024570573,3.0,11.0
128,42,732380042,36.0,-9.052288783480124,78.93960933355389,0.07542768110633424,0.3655887257009094,0.46332596157001327,30.196155489950133,3.0,6.0
128,43,732380043,36.0,-16.005226455851066,84.64479127282786,0.06836836393164882,0.3384258176412722,0.4316997908048993,34.523758696644904,3.0,6.0
128,44,732380044,60.0,1.8057821346549903,112.41335178606661,0.052663515270020514,0.2602792542210764,0.5078825708140383,37.0106286904087,3.0,10.0
128,45,732380045,54.0,5.441355966100448,100.25887428922165,0.0591766990210505,0.2939504175268039,0.5319623066913777,31.560374339912926,4.0,6.0
128,46,732380046,54.0,6.152722044179918,98.99938331604923,0.05986069282440418,0.2975228727810091,0.5348657829459033,31.019472928936672,4.0,6.0
128,47,732380047,48.0,-1.2394444019031614,93.91275396451162,0.06292831027765768,0.30746123196806513,0.4997192657543466,32.28201605310425,3.0,8.0
128,48,732380048,48.0,1.7692806040879019,92.39696597305259,0.06423478574342834,0.31797347383644636,0.5186208437848603,30.312593089140208,3.0,8.0
128,49,732380049,84.0,32.12310471037831,130.24130600910226,0.04589451192594464,0.2265193184647657,0.4481543953783708,35.21368251436057,4.0,11.0
128,50,732380050,60.0,7.6338998987038735,107.97831200455268,0.05531912077455294,0.27221020758297804,0.5338542816203513,33.626426938756985,3.0,10.0
128,51,732380051,36.0,-20.305554415958888,88.56196677002696,0.06681961457534748,0.3216634740810552,0.41373188180283355,38.00111520264376,3.0,6.0
128,52,732380052,30.0,-22.596920753334484,80.11665381467243,0.07340645805525925,0.3567002038534465,0.3951389030264608,36.33524266455145,3.0,5.0
128,53,732380053,54.0,6.858145800119295,99.73380501079588,0.05930879386401358,0.2941305575876237,0.5315822498914913,31.43857862118107,4.0,6.0
128,54,732380054,72.0,23.612903692876976,115.5720903866459,0.051339649927577814,0.25445430322508017,0.5025592139388778,32.48704838887434,4.0,9.0
128,55,732380055,24.0,-26.124337475113954,72.89670270701805,0.07989473245149663,0.32686837269486985,0.36654263466401027,36.32188179879811,3.0,4.0
128,56,732380056,48.0,-0.9079244460378805,94.67532815508923,0.06290101456566458,0.3100280284802113,0.5050345150236506,31.69351710254665,3.0,8.0
128,57,732380057,78.0,27.921925495694595,120.55360336371506,0.0495110679531876,0.24518273929122142,0.48226331302276865,33.44220253543452,4.0,10.0
128,58,732380058,24.0,-24.764162034127036,71.21416454272592,0.08190863366481199,0.32875292075214324,0.36808720727317085,35.95669978000727,3.0,4.0
128,59,732380059,48.0,4.936644390703537,87.07330418623556,0.06807530314593799,0.3356387216584021,0.534196204450534,28.300012899890998,3.0,8.0
128,60,732380060,66.0,15.72465384186965,110.65929768875769,0.05337553082774338,0.26163092816890315,0.5194281220507697,32.740091409331924,3.0,11.0
128,61,732380061,36.0,-12.364242817694974,82.61265552400545,0.07117785786325545,0.35387813587506567,0.44760555380315936,32.315464801823126,3.0,6.0
128,62,732380062,36.0,-11.203713945202482,80.49817943093504,0.07304464879857468,0.362714208944353,0.45848330552814304,30.789578414420628,3.0,6.0
