X,set_label,p,q,r,M,rank,k,conjugate_k,a_mod_p,b_mod_q,c_mod_r,pair_contribution,abs_pair_contribution,hp_80_140_delta,cumulative_signed,cumulative_over_C,unseen_single_mode_bound,ranking_inclusion_margin,ranking_certified_tolerance
128,actual,163,193,241,7581619,2,45,7581574,116,6,62,0.0529337625794870349800464683125791684105787461,0.0529337625794870370032896289558266289532184601,2.1617775e-80,0.107244597301687283330551281324005685746669769,0.1082469960104461143002297,0.022685782665136114,0.0029765213444168624191,1
128,actual,163,193,241,7581619,3,7,7581612,76,91,15,0.0461049141127854243438578891060547472101647506,0.0461049141127854236743566218592604855075478554,1.6582441e-81,0.153349511414472700066013999276037793606519699,0.1547828456438721245191914,0.022685782665136114,0.0029765213444168624191,1
128,actual,163,193,241,7581619,4,75,7581544,139,10,23,0.0394338494396592153893190772995409360873283182,0.0394338494396592187385408578848000615835189819,8.7298602e-81,0.192783360854131918804554857160837855190038681,0.1945852771916678214392249,0.022685782665136114,0.0029765213444168624191,1
128,actual,163,193,241,7581619,5,83,7581536,156,114,109,0.0363265355932221600727106994574228092290431559,0.0363265355932221589707609155084355734288692474,5.0576896e-80,0.229109896447354077775315772669273428618907928,0.2312513513097994855005624,0.022685782665136114,0.0029765213444168624191,1
128,actual,163,193,241,7581619,6,113,7581506,16,118,70,0.034070538366923870374263473435089719877183304,0.0340705383669238706656479109824431361630558968,1.7181745e-80,0.2631804348142779415020697797444881871342659,0.265640341743540731034301,0.022685782665136114,0.0029765213444168624191,1
128,actual,163,193,241,7581619,7,68,7581551,63,112,8,0.0316786610537266836998614177515786979770037941,0.031678661053726686613885021870373748242855072,2.2283791e-81,0.294859095868004628115954801614861935377120972,0.2976150983557797058409733,0.022685782665136114,0.0029765213444168624191,1
128,actual,163,193,241,7581619,8,18,7581601,79,41,73,0.0312387494624025049957866436779432687349831422,0.0312387494624025048584048391830947366543114185,6.4965844e-81,0.326097845330407143382700496658799238502979279,0.3291458315909056575598868,0.022685782665136114,0.0029765213444168624191,1
128,actual,163,193,241,7581619,9,30,7581589,23,4,202,0.0311722721893446199002625734448526436469566436,0.0311722721893446207130917713357121101580560207,4.984137e-81,0.35727011751975173980966360431921202689409256,0.3606094662001563810882487,0.022685782665136114,0.0029765213444168624191,1
128,actual,163,193,241,7581619,10,120,7581499,92,16,85,0.0272446920614618085982920901336551686582966367,0.0272446920614618087741476415430952329188585281,5.3066882e-80,0.384514809581213534706023438047850504517555237,0.3881088101958887204290249,0.022685782665136114,0.0029765213444168624191,1
128,actual,163,193,241,7581619,11,37,7581582,99,95,217,0.0266524745819023536043392365395680468736842137,0.0266524745819023550774673481100762728601694107,4.0538706e-81,0.411167284163115875905702978343470022082328796,0.4150104013466283103817034,0.022685782665136114,0.0029765213444168624191,1
128,actual,163,193,241,7581619,12,20,7581599,124,67,215,0.0256623040095529780858735097738854144193825841,0.0256623040095529768300774975386957521550357342,1.6363961e-81,0.436829588172668870083015235650236718356609344,0.4409125669534101898960898,0.022685782665136114,0.0029765213444168624191,1
128,actual,179,191,251,8581439,1,10,8581429,17,61,147,0.0274047609440180231611804028594359829993282045,0.0274047609440180237050377343166474020108580589,2.5655127e-83,0.0274047609440180237050377343166474020108580589,0.02791380648190262131480566,0.019816957923947616,0.00033036227997837105952,1
128,actual,179,191,251,8581439,2,53,8581386,108,75,1,0.0271822296486902145519799321768231677400316833,0.0271822296486902148515696353570092469453811646,2.7446656e-81,0.0545869905927082385566073696736566489562392235,0.05560094813258716767156997,0.019816957923947616,0.00033036227997837105952,1
128,actual,179,191,251,8581439,3,63,8581376,125,136,148,0.0270125430554911305477174139938152277280342643,0.0270125430554911290237374288381033693440258503,1.0083461e-80,0.0815995336481993710497917504653742071241140366,0.08311525124858029633934109,0.019816957923947616,0.00033036227997837105952,1
128,actual,179,191,251,8581439,4,9,8581430,69,74,57,0.0245177226231065066163117761280646956094801776,0.0245177226231065061023972617704203003086149693,3.0588466e-81,0.106117256271305873682742060282180318608880043,0.1080883924511766847054162,0.019816957923947616,0.00033036227997837105952,1
128,actual,179,191,251,8581439,5,44,8581395,39,1,195,0.0239312141051567493375297881715680601728336629,0.0239312141051567506266906093514990061521530151,4.7475418e-81,0.130048470376462610431644861819222569465637207,0.132464130695087139999444,0.019816957923947616,0.00033036227997837105952,1
128,actual,179,191,251,8581439,6,54,8581385,56,62,91,0.0238163920719493732109701867047969371450705266,0.0238163920719493722721882278392513399012386799,3.8762236e-81,0.153864862448411993112173945519316475838422775,0.1567229140777106621840176,0.019816957923947616,0.00033036227997837105952,1
